127.0.0.1 - - [26/Jan/2022:14:17:39 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [26/Jan/2022:14:17:40 +0900] "GET /03_javascript/chapt06/NewFile12.html HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [26/Jan/2022:14:17:40 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Jan/2022:14:17:48 +0900] "GET /03_javascript/chapt06/NewFile12.html HTTP/1.1" 200 367
0:0:0:0:0:0:0:1 - - [26/Jan/2022:14:17:48 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Jan/2022:14:18:10 +0900] "GET /03_javascript/chapt06/NewFile12.html HTTP/1.1" 200 368
0:0:0:0:0:0:0:1 - - [26/Jan/2022:14:18:10 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Jan/2022:14:18:10 +0900] "GET /03_javascript/chapt06/NewFile.html HTTP/1.1" 200 1107
0:0:0:0:0:0:0:1 - - [26/Jan/2022:14:19:20 +0900] "GET /03_javascript/chapt06/NewFile12.html HTTP/1.1" 200 368
0:0:0:0:0:0:0:1 - - [26/Jan/2022:14:19:20 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Jan/2022:14:19:20 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [26/Jan/2022:14:40:18 +0900] "GET /03_javascript/chapt06/NewFile13.html HTTP/1.1" 200 447
0:0:0:0:0:0:0:1 - - [26/Jan/2022:14:41:11 +0900] "GET /03_javascript/chapt06/NewFile13.html HTTP/1.1" 200 458
0:0:0:0:0:0:0:1 - - [26/Jan/2022:14:42:31 +0900] "GET /003_javascript/chapter06%E2%98%85/160_his_obp1.html HTTP/1.1" 200 206
0:0:0:0:0:0:0:1 - - [26/Jan/2022:14:42:33 +0900] "GET /003_javascript/chapter06%E2%98%85/160_his_obp2.html HTTP/1.1" 200 490
0:0:0:0:0:0:0:1 - - [26/Jan/2022:14:42:35 +0900] "GET /003_javascript/chapter06%E2%98%85/160_his_obp3.html HTTP/1.1" 200 355
0:0:0:0:0:0:0:1 - - [26/Jan/2022:14:49:11 +0900] "GET /03_javascript/chapt06/1page.html HTTP/1.1" 200 266
0:0:0:0:0:0:0:1 - - [26/Jan/2022:14:49:13 +0900] "GET /03_javascript/chapt06/2page.html HTTP/1.1" 200 439
0:0:0:0:0:0:0:1 - - [26/Jan/2022:14:49:15 +0900] "GET /03_javascript/chapt06/3page.html HTTP/1.1" 200 404
0:0:0:0:0:0:0:1 - - [26/Jan/2022:14:49:25 +0900] "GET /03_javascript/chapt06/3page.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2022:14:49:29 +0900] "GET /03_javascript/chapt06/2page.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2022:14:49:36 +0900] "GET /03_javascript/chapt06/3page.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [26/Jan/2022:15:03:19 +0900] "GET /003_javascript/chapter06%E2%98%85/187_dom_ob5-1.html HTTP/1.1" 200 862
0:0:0:0:0:0:0:1 - - [26/Jan/2022:15:03:19 +0900] "GET /003_javascript/chapter06%E2%98%85/images/btn_out.gif HTTP/1.1" 200 5906
