127.0.0.1 - - [17/Mar/2022:11:41:43 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:42:22 +0900] "GET /s/shop/ShopMain.jsp HTTP/1.1" 200 5332
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:42:22 +0900] "GET /s/images/apple1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:42:22 +0900] "GET /s/images/apple2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:42:22 +0900] "GET /s/images/apple3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:42:22 +0900] "GET /s/images/banana1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:42:22 +0900] "GET /s/images/banana3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:42:22 +0900] "GET /s/images/banana2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:42:22 +0900] "GET /s/images/pear2.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:42:22 +0900] "GET /s/images/pear1.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:42:22 +0900] "GET /s/images/pear3.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:42:22 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:42:27 +0900] "GET /s/shop/CartProcess.jsp?name=%EB%B0%94%EB%82%98%EB%82%981&price=3,000 HTTP/1.1" 200 108
0:0:0:0:0:0:0:1 - - [17/Mar/2022:11:44:44 +0900] "GET /s/shop/ShopMain.jsp HTTP/1.1" 200 5332
0:0:0:0:0:0:0:1 - - [17/Mar/2022:12:49:08 +0900] "GET /s/shop/ShopMain.jsp HTTP/1.1" 200 5490
0:0:0:0:0:0:0:1 - - [17/Mar/2022:12:49:08 +0900] "GET /s/images/apple1.jpg HTTP/1.1" 200 6345
0:0:0:0:0:0:0:1 - - [17/Mar/2022:12:49:08 +0900] "GET /s/images/apple2.jpg HTTP/1.1" 200 7786
0:0:0:0:0:0:0:1 - - [17/Mar/2022:12:49:08 +0900] "GET /s/images/banana1.jpg HTTP/1.1" 200 6803
0:0:0:0:0:0:0:1 - - [17/Mar/2022:12:49:08 +0900] "GET /s/images/apple3.jpg HTTP/1.1" 200 8530
0:0:0:0:0:0:0:1 - - [17/Mar/2022:12:49:08 +0900] "GET /s/images/banana3.jpg HTTP/1.1" 200 5959
0:0:0:0:0:0:0:1 - - [17/Mar/2022:12:49:08 +0900] "GET /s/images/pear1.jpg HTTP/1.1" 200 6847
0:0:0:0:0:0:0:1 - - [17/Mar/2022:12:49:08 +0900] "GET /s/images/banana2.jpg HTTP/1.1" 200 7283
0:0:0:0:0:0:0:1 - - [17/Mar/2022:12:49:08 +0900] "GET /s/images/pear2.jpg HTTP/1.1" 200 7409
0:0:0:0:0:0:0:1 - - [17/Mar/2022:12:49:08 +0900] "GET /s/images/pear3.jpg HTTP/1.1" 200 7306
0:0:0:0:0:0:0:1 - - [17/Mar/2022:12:49:08 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [17/Mar/2022:12:49:11 +0900] "GET /s/shop/CartView.jsp HTTP/1.1" 200 834
0:0:0:0:0:0:0:1 - - [17/Mar/2022:12:53:45 +0900] "GET /s/shop/ShopMain.jsp HTTP/1.1" 200 5490
0:0:0:0:0:0:0:1 - - [17/Mar/2022:12:53:47 +0900] "GET /s/shop/CartView.jsp HTTP/1.1" 200 842
